From,To,weight,frac,from_lon,from_lat,to_lon,to_lat
Romania,Switzerland,1,0.003610108,26.10272,44.436141,7.451451,46.948271
Norway,Switzerland,1,0.003610108,10.73897,59.91333,7.451451,46.948271
Italy,Switzerland,5,0.018050542,12.482932,41.89332,7.451451,46.948271
Bulgaria,Switzerland,1,0.003610108,23.3219,42.6977,7.451451,46.948271
Germany,Sweden,1,0.003610108,13.38886,52.517036,18.071094,59.325117
Denmark,Sweden,1,0.003610108,12.570072,55.686724,18.071094,59.325117
Spain,Spain,3,0.010830325,-3.703582,40.416705,-3.703582,40.416705
Italy,Spain,2,0.007220217,12.482932,41.89332,-3.703582,40.416705
France,Spain,1,0.003610108,2.351462,48.856697,-3.703582,40.416705
Croatia,Spain,1,0.003610108,15.977048,45.813177,-3.703582,40.416705
Switzerland,Slovenia,1,0.003610108,7.451451,46.948271,14.50686,46.04998
Hungary,Slovenia,1,0.003610108,19.040471,47.498382,14.50686,46.04998
Croatia,Slovenia,2,0.007220217,15.977048,45.813177,14.50686,46.04998
Croatia,Slovakia,1,0.003610108,15.977048,45.813177,17.109306,48.151699
Hungary,Romania,2,0.007220217,19.040471,47.498382,26.10272,44.436141
Bulgaria,Romania,2,0.007220217,23.3219,42.6977,26.10272,44.436141
Germany,Poland,1,0.003610108,13.38886,52.517036,21.071411,52.233717
Denmark,Norway,1,0.003610108,12.570072,55.686724,10.73897,59.91333
Switzerland,Netherlands,1,0.003610108,7.451451,46.948271,4.893604,52.37276
Netherlands,Netherlands,1,0.003610108,4.893604,52.37276,4.893604,52.37276
Italy,Netherlands,2,0.007220217,12.482932,41.89332,4.893604,52.37276
Greece,Netherlands,1,0.003610108,23.728305,37.983941,4.893604,52.37276
France,Netherlands,1,0.003610108,2.351462,48.856697,4.893604,52.37276
Slovenia,Italy,2,0.007220217,14.50686,46.04998,12.482932,41.89332
Slovakia,Italy,1,0.003610108,17.109306,48.151699,12.482932,41.89332
Italy,Italy,3,0.010830325,12.482932,41.89332,12.482932,41.89332
Greece,Italy,7,0.025270758,23.728305,37.983941,12.482932,41.89332
Germany,Italy,1,0.003610108,13.38886,52.517036,12.482932,41.89332
France,Italy,3,0.010830325,2.351462,48.856697,12.482932,41.89332
Croatia,Italy,3,0.010830325,15.977048,45.813177,12.482932,41.89332
Bulgaria,Italy,2,0.007220217,23.3219,42.6977,12.482932,41.89332
Belgium,Italy,2,0.007220217,4.351697,50.846557,12.482932,41.89332
Austria,Italy,1,0.003610108,16.372504,48.208354,12.482932,41.89332
Romania,Hungary,1,0.003610108,26.10272,44.436141,19.040471,47.498382
Greece,Hungary,1,0.003610108,23.728305,37.983941,19.040471,47.498382
Greece,Greece,2,0.007220217,23.728305,37.983941,23.728305,37.983941
Germany,Greece,1,0.003610108,13.38886,52.517036,23.728305,37.983941
France,Greece,1,0.003610108,2.351462,48.856697,23.728305,37.983941
Spain,Germany,1,0.003610108,-3.703582,40.416705,13.38886,52.517036
Romania,Germany,2,0.007220217,26.10272,44.436141,13.38886,52.517036
Poland,Germany,1,0.003610108,21.071411,52.233717,13.38886,52.517036
Netherlands,Germany,1,0.003610108,4.893604,52.37276,13.38886,52.517036
Italy,Germany,4,0.014440433,12.482932,41.89332,13.38886,52.517036
Hungary,Germany,1,0.003610108,19.040471,47.498382,13.38886,52.517036
Greece,Germany,12,0.0433213,23.728305,37.983941,13.38886,52.517036
Czech Republic,Germany,1,0.003610108,14.421254,50.087465,13.38886,52.517036
Croatia,Germany,3,0.010830325,15.977048,45.813177,13.38886,52.517036
Bulgaria,Germany,1,0.003610108,23.3219,42.6977,13.38886,52.517036
Austria,Germany,5,0.018050542,16.372504,48.208354,13.38886,52.517036
Switzerland,France,5,0.018050542,7.451451,46.948271,2.351462,48.856697
Sweden,France,2,0.007220217,18.071094,59.325117,2.351462,48.856697
Spain,France,7,0.025270758,-3.703582,40.416705,2.351462,48.856697
Slovenia,France,2,0.007220217,14.50686,46.04998,2.351462,48.856697
Poland,France,1,0.003610108,21.071411,52.233717,2.351462,48.856697
Norway,France,1,0.003610108,10.73897,59.91333,2.351462,48.856697
Netherlands,France,2,0.007220217,4.893604,52.37276,2.351462,48.856697
Italy,France,33,0.119133574,12.482932,41.89332,2.351462,48.856697
Greece,France,15,0.054151625,23.728305,37.983941,2.351462,48.856697
Germany,France,13,0.046931408,13.38886,52.517036,2.351462,48.856697
France,France,3,0.010830325,2.351462,48.856697,2.351462,48.856697
Denmark,France,1,0.003610108,12.570072,55.686724,2.351462,48.856697
Croatia,France,2,0.007220217,15.977048,45.813177,2.351462,48.856697
Bulgaria,France,4,0.014440433,23.3219,42.6977,2.351462,48.856697
Belgium,France,6,0.02166065,4.351697,50.846557,2.351462,48.856697
Austria,France,2,0.007220217,16.372504,48.208354,2.351462,48.856697
Germany,Denmark,3,0.010830325,13.38886,52.517036,12.570072,55.686724
Denmark,Denmark,1,0.003610108,12.570072,55.686724,12.570072,55.686724
Greece,Czech Republic,1,0.003610108,23.728305,37.983941,14.421254,50.087465
Greece,Croatia,6,0.02166065,23.728305,37.983941,15.977048,45.813177
Bulgaria,Croatia,2,0.007220217,23.3219,42.6977,15.977048,45.813177
Croatia,Bulgaria,1,0.003610108,15.977048,45.813177,23.3219,42.6977
Switzerland,Belgium,2,0.007220217,7.451451,46.948271,4.351697,50.846557
Spain,Belgium,6,0.02166065,-3.703582,40.416705,4.351697,50.846557
Portugal,Belgium,1,0.003610108,-9.136592,38.707751,4.351697,50.846557
Poland,Belgium,1,0.003610108,21.071411,52.233717,4.351697,50.846557
Netherlands,Belgium,3,0.010830325,4.893604,52.37276,4.351697,50.846557
Italy,Belgium,11,0.039711191,12.482932,41.89332,4.351697,50.846557
Hungary,Belgium,1,0.003610108,19.040471,47.498382,4.351697,50.846557
Greece,Belgium,9,0.032490975,23.728305,37.983941,4.351697,50.846557
Germany,Belgium,4,0.014440433,13.38886,52.517036,4.351697,50.846557
France,Belgium,21,0.075812274,2.351462,48.856697,4.351697,50.846557
Bulgaria,Belgium,1,0.003610108,23.3219,42.6977,4.351697,50.846557
Slovenia,Austria,1,0.003610108,14.50686,46.04998,16.372504,48.208354
Romania,Austria,1,0.003610108,26.10272,44.436141,16.372504,48.208354
Italy,Austria,1,0.003610108,12.482932,41.89332,16.372504,48.208354
Hungary,Austria,2,0.007220217,19.040471,47.498382,16.372504,48.208354
France,Austria,2,0.007220217,2.351462,48.856697,16.372504,48.208354