_parent_index,_submission__id,Number of countries,No countries,Country of longest stay,Country 1,Date 1,Stay 1,Country 2,Date 2,Stay2,Country 3,Date 3,Stay 3,Country 4,Date 4,Stay 4,Country 5,Date 5,Stay 5,Country 6,Date 6,Stay 6,Country 7,Date 7,Stay 7,Country 8,Date 8,Stay 8,Country 9,Date 9,Stay 9
85,750372779,8,4+,Croatia,Greece,2023,0,Croatia,2023,2,Other,2025,0,,2025,,Croatia,2025,0,Slovakia,2025,0,Italy,2025,0,Switzerland,2025,0,France,2025,1
87,750372790,8,4+,Other,Greece,2023,0,Czech Republic,2023,-1,Croatia,2022,0,Other,2022,1,Germany,2023,0,Denmark,2023,1,Norway,2024,1,France,2025,1,,,
94,750567541,8,4+,Sweden,Greece,2013,0,Other,2013,0,Other,2013,0,Hungary,2013,1,Austria,2014,0,Germany,2014,0,Denmark,2014,0,Sweden,2014,12,,,
115,751450730,7,4+,France,Greece,2022,0,Other,2022,0,Other,2022,1,Croatia,2023,0,Slovenia,2023,0,Italy,2023,0,France,2023,3,,,,,,
160,752212181,6,4+,Switzerland,Other,2025,0,Croatia,2025,0,Slovenia,2025,0,Italy,2025,0,Switzerland,2025,1,France,2026,0,,,,,,,,,
199,753268126,6,4+,Poland,Austria,2015,0,Italy,2015,0,Austria,2015,2,Germany,2017,1,Poland,2018,6,Belgium,2024,2,,,,,,,,,
200,753268136,6,4+,Denmark,Denmark,2016,-1,Italy,2015,0,Italy,2015,0,Germany,2015,1,Denmark,2016,10,France,2026,0,,,,,,,,,
19,746796985,5,4+,France,France,2015,0,Austria,2015,0,Germany,2015,0,Belgium,2015,0,France,2015,11,,,,,,,,,,,,
73,750160721,5,4+,Austria,Italy,2025,0,Netherlands,2025,0,Germany,2025,0,France,2025,0,Austria,2025,1,,,,,,,,,,,,
86,750372783,5,4+,Italy,Bulgaria,2025,0,Croatia,2025,0,Italy,2025,1,Germany,2026,0,France,2026,0,,,,,,,,,,,,
110,751450645,5,4+,Germany,Greece,2024,0,Other,2024,0,Italy,2024,0,Germany,2024,2,France,2026,0,,,,,,,,,,,,
112,751450649,5,4+,Austria,Greece,2015,0,Hungary,2015,0,Slovenia,2015,0,Austria,2015,11,France,2026,0,,,,,,,,,,,,
137,751791754,5,4+,Switzerland,Greece,2025,0,Croatia,2025,0,Italy,2025,0,Switzerland,2025,1,France,2026,0,,,,,,,,,,,,
155,752212172,5,4+,Sweden,Greece,2015,1,Croatia,2016,0,Germany,2016,0,Sweden,2016,10,France,2026,0,,,,,,,,,,,,
184,752931367,5,4+,France,France,2019,0,Greece,2019,0,Croatia,2019,0,Bulgaria,2019,1,France,2020,6,,,,,,,,,,,,
29,747125461,4,4+,France,Bulgaria,2021,0,Other,2021,1,Germany,2022,0,France,2022,4,,,,,,,,,,,,,,,
78,750160735,4,4+,Belgium,Italy,2025,0,Switzerland,2025,0,Belgium,2025,1,France,2026,0,,,,,,,,,,,,,,,
88,750372796,4,4+,France,Greece,2016,4,Croatia,2020,0,Spain,2020,0,France,2020,6,,,,,,,,,,,,,,,
103,751145589,4,4+,Germany,Hungary,2023,0,Romania,2023,0,Austria,2023,0,Germany,2023,3,,,,,,,,,,,,,,,
105,751145592,4,4+,Germany,Bulgaria,2022,0,Romania,2022,0,Hungary,2022,0,Germany,2022,4,,,,,,,,,,,,,,,
162,752406249,4,4+,Bulgaria,Bulgaria,2026,0,Switzerland,2026,0,Slovenia,2026,0,France,2026,0,,,,,,,,,,,,,,,
178,752746667,4,4+,France,France,2022,0,Italy,2022,0,France,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,
179,752746779,4,4+,France,Greece,2019,0,Croatia,2019,0,Germany,2019,0,France,2019,7,,,,,,,,,,,,,,,
180,752749271,4,4+,Belgium,Greece,2022,1,Italy,2023,0,Belgium,2023,2,France,2025,1,,,,,,,,,,,,,,,
181,752931351,4,4+,Belgium,Greece,2025,0,Greece,2025,0,Belgium,2025,1,France,2026,0,,,,,,,,,,,,,,,
183,752931366,4,4+,Belgium,Belgium,2020,0,Italy,2020,0,Belgium,2020,4,France,2024,2,,,,,,,,,,,,,,,
188,752931381,4,4+,Germany,Germany,2023,0,Italy,2023,0,Germany,2023,2,France,2025,1,,,,,,,,,,,,,,,
193,753102188,4,4+,France,Italy,2025,0,Switzerland,2025,0,France,2025,1,Belgium,2026,0,,,,,,,,,,,,,,,
197,753268114,4,4+,France,Italy,2010,0,France,2010,0,Netherlands,2010,2,France,2012,14,,,,,,,,,,,,,,,
207,753729068,4,4+,Luxembourg,Poland,2025,0,Germany,2025,0,Luxembourg,2025,1,Belgium,2026,0,,,,,,,,,,,,,,,
1,743872185,3,3,Other,Iceland,2014,2,Other,2016,8,Belgium,2024,2,,,,,,,,,,,,,,,,,,
5,744568660,3,3,Belgium,Greece,2020,1,France,2021,1,Belgium,2022,4,,,,,,,,,,,,,,,,,,
8,745264343,3,3,Greece,Greece,2019,3,France,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,
10,746112880,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
12,746152860,3,3,Italy,Italy,2020,2,France,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,
17,746635762,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
25,747084910,3,3,France,Croatia,2022,0,Italy,2022,0,France,2022,4,,,,,,,,,,,,,,,,,,
27,747125459,3,3,Greece,Greece,2023,1,Germany,2024,1,France,2025,1,,,,,,,,,,,,,,,,,,
28,747125460,3,3,Italy,Bulgaria,2025,0,Italy,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
30,747125463,3,3,Greece,Greece,2023,1,Germany,2024,1,France,2025,1,,,,,,,,,,,,,,,,,,
31,747388748,3,3,Germany,Greece,2024,0,Germany,2024,1,Greece,2025,1,,,,,,,,,,,,,,,,,,
45,748469621,3,3,Belgium,Bulgaria,2020,2,France,2022,1,Belgium,2023,3,,,,,,,,,,,,,,,,,,
52,749165056,3,3,Germany,Bulgaria,2023,0,Romania,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,
53,749172028,3,3,Germany,Hungary,2023,0,Austria,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,
55,749212158,3,3,Germany,Other,2023,0,Other,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,
58,749243043,3,3,Switzerland,Romania,2022,0,Switzerland,2022,2,Netherlands,2024,2,,,,,,,,,,,,,,,,,,
60,749394351,3,3,Belgium,Spain,2023,1,Germany,2024,0,Belgium,2024,2,,,,,,,,,,,,,,,,,,
70,749777929,3,3,France,Greece,2025,0,France,2025,1,Belgium,2026,0,,,,,,,,,,,,,,,,,,
77,750160730,3,3,Germany,Greece,2015,0,Germany,2015,11,France,2026,0,,,,,,,,,,,,,,,,,,
97,750722585,3,3,Switzerland,Norway,2025,0,Switzerland,2025,1,Belgium,2026,0,,,,,,,,,,,,,,,,,,
99,750754035,3,3,Netherlands,Italy,2024,0,Netherlands,2024,2,Belgium,2026,0,,,,,,,,,,,,,,,,,,
104,751145590,3,3,Germany,Hungary,2023,0,Romania,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,
106,751344588,3,3,Germany,Greece,2021,1,Germany,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,
111,751450648,3,3,Greece,Greece,2023,2,Italy,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,
113,751450653,3,3,Bulgaria,Bulgaria,2026,0,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,
114,751450655,3,3,Greece,Greece,2026,0,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,
129,751791727,3,3,Croatia,Bulgaria,2025,0,Croatia,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
131,751791734,3,3,Greece,Greece,2025,0,Greece,2025,1,France,2026,0,,2026,,,,,,,,,,,,,,,,
133,751791741,3,3,Germany,Greece,2022,1,Germany,2023,3,France,2026,0,,,,,,,,,,,,,,,,,,
136,751791752,3,3,Italy,Greece,2025,0,Italy,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
138,751791759,3,3,Greece,Greece,2026,0,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,
139,751791764,3,3,Spain,Italy,2025,0,Spain,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
140,751791771,3,3,Spain,Italy,2025,0,Spain,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
141,751802849,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
158,752212177,3,3,Greece,Greece,2021,2,Germany,2023,2,France,2025,1,,,,,,,,,,,,,,,,,,
159,752212179,3,3,Greece,Greece,2026,0,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,
163,752406254,3,3,Slovenia,Slovenia,2026,0,France,2026,0,I prefer not to say,2026,0,,,,,,,,,,,,,,,,,,
167,752623012,3,3,Belgium,Italy,2024,0,France,2024,0,Belgium,2024,2,,,,,,,,,,,,,,,,,,
169,752695880,3,3,Greece,Greece,2022,2,France,2024,0,Belgium,2024,2,,,,,,,,,,,,,,,,,,
172,752746649,3,3,France,France,2020,0,Italy,2020,0,France,2020,6,,,,,,,,,,,,,,,,,,
173,752746652,3,3,Netherlands,Netherlands,2019,0,Netherlands,2019,6,France,2025,1,,,,,,,,,,,,,,,,,,
175,752746660,3,3,France,France,2022,0,Spain,2022,0,France,2022,4,,,,,,,,,,,,,,,,,,
176,752746662,3,3,Italy,Greece,2024,0,Italy,2024,1,France,2025,1,,,,,,,,,,,,,,,,,,
177,752746664,3,3,Spain,Spain,2024,0,Spain,2024,2,France,2026,0,,,,,,,,,,,,,,,,,,
182,752931360,3,3,France,Italy,2022,0,Italy,2022,1,France,2023,3,,,,,,,,,,,,,,,,,,
185,752931371,3,3,Spain,Spain,2025,0,Spain,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,
187,752931373,3,3,France,Italy,2025,0,Italy,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,
190,752931388,3,3,France,Greece,2025,0,Belgium,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,
191,753068236,3,3,Greece,Greece,2026,0,France,2026,0,Belgium,2026,0,,,,,,,,,,,,,,,,,,
192,753072635,3,3,Italy,Italy,2026,0,France,2026,0,Belgium,2026,0,,,,,,,,,,,,,,,,,,
194,753167455,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
195,753203709,3,3,Greece,Greece,2024,1,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
198,753268116,3,3,Italy,Belgium,2023,0,Italy,2023,2,France,2025,1,,,,,,,,,,,,,,,,,,
201,753268142,3,3,France,Spain,2025,0,Spain,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,
203,753505313,3,3,Greece,Greece,2021,2,France,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,
205,753576428,3,3,Netherlands,Italy,2024,0,Netherlands,2024,2,France,2026,0,,,,,,,,,,,,,,,,,,
208,753744012,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
209,753829697,3,3,Greece,Greece,2024,1,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
212,754129796,3,3,Belgium,Italy,2023,0,France,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,
213,754178705,3,3,Belgium,Italy,2025,0,France,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,
2,744148801,2,2,Greece,Greece,2021,4,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
3,744194714,2,2,Belgium,Greece,2022,0,Belgium,2022,4,,,,,,,,,,,,,,,,,,,,,
4,744301710,2,2,Greece,Greece,2021,5,Belgium,,,,,,,,,,,,,,,,,,,,,,,
6,744600806,2,2,Belgium,Greece,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
7,745244486,2,2,Netherlands,Netherlands,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
9,746078609,2,2,Belgium,Spain,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
11,746118723,2,2,Italy,Italy,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
13,746391740,2,2,Belgium,Portugal,2024,0,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
14,746441676,2,2,Belgium,Spain,2022,1,Belgium,2023,3,,,,,,,,,,,,,,,,,,,,,
16,746519234,2,2,Belgium,France,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
18,746726880,2,2,Belgium,Spain,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
20,746796986,2,2,I prefer not to say,France,2021,0,I prefer not to say,2021,5,,,,,,,,,,,,,,,,,,,,,
21,746925399,2,2,France,France,2019,5,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
22,747056690,2,2,Belgium,Greece,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
23,747062699,2,2,Belgium,Italy,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
24,747084908,2,2,France,Austria,2022,0,France,2022,4,,,,,,,,,,,,,,,,,,,,,
26,747105541,2,2,France,Italy,2017,0,France,2017,9,,,,,,,,,,,,,,,,,,,,,
32,747417366,2,2,Netherlands,Greece,2024,0,Netherlands,2024,2,,,,,,,,,,,,,,,,,,,,,
33,747535400,2,2,France,France,2023,0,France,2023,3,,,,,,,,,,,,,,,,,,,,,
35,747809986,2,2,Greece,Greece,2024,1,Germany,2025,1,,,,,,,,,,,,,,,,,,,,,
36,747955190,2,2,Germany,Bulgaria,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,,,,
37,747955266,2,2,Belgium,Italy,2020,2,Belgium,2022,4,,,,,,,,,,,,,,,,,,,,,
39,748217007,2,2,France,France,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
40,748263461,2,2,Greece,Greece,2023,2,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
42,748359630,2,2,France,Poland,2021,0,France,2021,5,,,,,,,,,,,,,,,,,,,,,
43,748359634,2,2,France,Italy,2012,0,France,2012,14,,,,,,,,,,,,,,,,,,,,,
49,749076177,2,2,Italy,Italy,2020,5,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
54,749212156,2,2,France,Italy,2009,8,France,2017,9,,,,,,,,,,,,,,,,,,,,,
56,749212160,2,2,Germany,Greece,2025,0,Germany,2025,1,,,,,,,,,,,,,,,,,,,,,
57,749231593,2,2,Germany,Poland,2022,0,Germany,2022,4,,,,,,,,,,,,,,,,,,,,,
62,749481240,2,2,Belgium,Italy,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
64,749554662,2,2,Germany,Greece,2024,0,Germany,2024,2,,,,,,,,,,,,,,,,,,,,,
65,749554664,2,2,Germany,Greece,2024,0,Germany,2024,2,,,,,,,,,,,,,,,,,,,,,
67,749717359,2,2,Belgium,Italy,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
68,749757423,2,2,Germany,Germany,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
71,749826992,2,2,Greece,Greece,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
72,750160717,2,2,France,Italy,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,,,,
74,750160723,2,2,France,Greece,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,,,,
75,750160725,2,2,France,Greece,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,,,,
76,750160728,2,2,Greece,Greece,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
80,750160742,2,2,France,France,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
83,750163484,2,2,Germany,Croatia,2023,0,Germany,2023,3,,,,,,,,,,,,,,,,,,,,,
84,750164894,2,2,Germany,Greece,2015,0,Germany,2015,11,,,,,,,,,,,,,,,,,,,,,
90,750372799,2,2,Switzerland,Switzerland,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
91,750372800,2,2,Croatia,Croatia,2020,5,France,2025,1,,,,,,,,,,,,,,,,,,,,,
93,750560055,2,2,France,Greece,2021,2,France,2023,3,,,,,,,,,,,,,,,,,,,,,
95,750580185,2,2,Spain,Spain,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
96,750597563,2,2,Bulgaria,Bulgaria,2022,2,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
98,750733760,2,2,France,France,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
100,750763209,2,2,Italy,Italy,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
101,750790887,2,2,Italy,Italy,2022,3,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
107,751399955,2,2,Belgium,Spain,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
118,751514215,2,2,Italy,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
120,751514218,2,2,Italy,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
122,751514221,2,2,France,Italy,2026,-3,France,2023,3,,,,,,,,,,,,,,,,,,,,,
127,751636715,2,2,Netherlands,Netherlands,2024,2,Belgium,2026,0,,,,,,,,,,,,,,,,,,,,,
128,751790024,2,2,Belgium,Hungary,2023,1,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,
130,751791730,2,2,Greece,Greece,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,,,,
132,751791737,2,2,Greece,Greece,2021,5,France,2026,0,,,,,,,,,,,,,,,,,,,,,
134,751791745,2,2,Greece,Greece,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,,,,
142,751870752,2,2,Italy,Italy,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
143,751870756,2,2,France,Germany,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,,,,
144,751870758,2,2,Greece,Greece,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
148,751870775,2,2,Bulgaria,Bulgaria,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
156,752212174,2,2,Sweden,Sweden,2021,5,France,2026,0,,,,,,,,,,,,,,,,,,,,,
157,752212175,2,2,Bulgaria,Bulgaria,2026,0,France,2026,0,,,,,,,,,,,,,,,,,,,,,
161,752366973,2,2,Belgium,Spain,2022,1,Belgium,2023,3,,,,,,,,,,,,,,,,,,,,,
165,752410172,2,2,Belgium,Greece,2019,3,Belgium,2022,4,,,,,,,,,,,,,,,,,,,,,
166,752448793,2,2,France,France,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
168,752660442,2,2,Italy,Italy,2025,1,Belgium,2026,0,,,,,,,,,,,,,,,,,,,,,
171,752746646,2,2,Germany,Germany,2024,1,France,2025,1,,,,,,,,,,,,,,,,,,,,,
174,752746657,2,2,France,Italy,2023,0,France,2023,3,,,,,,,,,,,,,,,,,,,,,
186,752931372,2,2,France,Italy,2018,2,France,2020,6,,,,,,,,,,,,,,,,,,,,,
189,752931382,2,2,France,France,2024,1,France,2025,1,,,,,,,,,,,,,,,,,,,,,
202,753268143,2,2,France,Italy,2025,0,France,2025,1,,,,,,,,,,,,,,,,,,,,,
204,753530774,2,2,Spain,Spain,2022,3,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
206,753576445,2,2,Spain,Spain,2025,1,France,2026,0,,,,,,,,,,,,,,,,,,,,,
210,753875827,2,2,Belgium,Poland,2025,0,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
211,754087457,2,2,Greece,Greece,2024,2,Belgium,2026,0,,,,,,,,,,,,,,,,,,,,,
15,746469847,1,1,Belgium,Belgium,2023,3,,,,,,,,,,,,,,,,,,,,,,,,
34,747535406,1,1,France,France,2022,4,,,,,,,,,,,,,,,,,,,,,,,,
38,747983898,1,1,Belgium,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
41,748359627,1,1,France,France,2017,9,,,,,,,,,,,,,,,,,,,,,,,,
44,748359639,1,1,France,France,2019,7,,,,,,,,,,,,,,,,,,,,,,,,
46,748562520,1,1,,,2024,1,Belgium,2025,1,,,,,,,,,,,,,,,,,,,,,
47,748625469,1,1,France,France,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
48,748625470,1,1,France,France,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
50,749103532,1,1,Spain,Spain,2025,1,,,,,,,,,,,,,,,,,,,,,,,,
51,749165050,1,1,France,France,2023,3,,,,,,,,,,,,,,,,,,,,,,,,
59,749361736,1,1,Italy,Italy,2025,1,,,,,,,,,,,,,,,,,,,,,,,,
61,749473530,1,1,France,France,2019,3,,2022,,,,,,,,,,,,,,,,,,,,,,
63,749506464,1,1,France,France,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
66,749554665,1,1,Germany,Germany,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
69,749766509,1,1,Belgium,Belgium,2021,5,,,,,,,,,,,,,,,,,,,,,,,,
79,750160738,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
81,750160743,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
82,750163479,1,1,Germany,Germany,2018,8,,,,,,,,,,,,,,,,,,,,,,,,
102,751016971,1,1,Belgium,Belgium,2024,2,,,,,,,,,,,,,,,,,,,,,,,,
117,751514213,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
119,751514216,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
121,751514220,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
123,751514223,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
124,751514224,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
125,751514225,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
126,751514227,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
145,751870761,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
146,751870766,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
147,751870771,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
149,751870777,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
150,751870779,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
151,751870783,1,1,France,France,2025,1,,,,,,,,,,,,,,,,,,,,,,,,
152,751870786,1,1,France,France,2025,1,,,,,,,,,,,,,,,,,,,,,,,,
153,751870788,1,1,France,France,2025,1,,,,,,,,,,,,,,,,,,,,,,,,
154,751870791,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
164,752406255,1,1,France,France,2026,0,,,,,,,,,,,,,,,,,,,,,,,,
170,752746642,1,1,Italy,Italy,2025,1,,,,,,,,,,,,,,,,,,,,,,,,